Director Name,Company Name,CIN,Designation,Appointment Date,Cessation
Other Directoships of BINDU SHARMA,SHREE SAI TRANSPORT (SST INDIA) PRIVATE LIMITED,U60231PN2014PTC151986,Additional Director,2023-05-19,2023-09-24
Other Directoships of BINDU SHARMA,SHREE SAI TRANSPORT (SST INDIA) PRIVATE LIMITED,U60231PN2014PTC151986,Director,2023-09-25,Ongoing
Other Directoships of BINDU SHARMA,UNITED ARAB SHIPPING AGENCY COMPANY (INDIA) PRIVATE LIMITED,U63032MH2007PTC168115,Additional Director,2017-08-28,2018-06-22
Other Directoships of BINDU SHARMA,UNITED ARAB SHIPPING AGENCY COMPANY (INDIA) PRIVATE LIMITED,U63032MH2007PTC168115,Director,2018-06-22,2020-05-18
Other Directoships of BINDU SHARMA,CSAV GROUP (INDIA) LIMITED,U72900HR2004PLC035941,Alternate Director,2014-09-30,Ongoing
Other Directoships of BINDU SHARMA,UASC SERVICES (INDIA) PRIVATE LIMITED,U72900MH2012PTC321374,Additional Director,2018-05-28,2018-09-28
Other Directoships of BINDU SHARMA,UASC SERVICES (INDIA) PRIVATE LIMITED,U72900MH2012PTC321374,Director,2018-09-28,2020-06-17
Other Directoships of BINDU SHARMA,HAPAG-LLOYD INDIA PRIVATE LIMITED,U93090MH2006PTC164132,Additional Director,2017-06-06,2017-09-29
Other Directoships of BINDU SHARMA,HAPAG-LLOYD INDIA PRIVATE LIMITED,U93090MH2006PTC164132,Director,2017-09-29,2020-05-18
Other Directoships of GOPALAN PASHUPATHY SHANKAR,LAUNDROMANIA LAUNDRY SERVICES LLP,AAK-0808,Partner,2018-12-20,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,LAUNDROMANIA LAUNDRY SERVICES LLP,AAK-0808,Partner,2017-07-21,2017-09-29
Other Directoships of GOPALAN PASHUPATHY SHANKAR,VILASINI HOUSING LLP,AAM-4026,Designated Partner,2018-04-10,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AMBUR PROPERTIES LLP,AAN-0670,Designated Partner,2023-09-01,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AVYAN PASHUPATHY ADVISORS ONE LLP,AAZ-4930,Designated Partner,2021-11-16,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,OHMIUM OPERATIONS PRIVATE LIMITED,U31900KA2011PTC061055,Director,2021-01-08,2022-09-30
Other Directoships of GOPALAN PASHUPATHY SHANKAR,REFEX SUSTAINABILITY SOLUTIONS PRIVATE LIMITED,U39000TN2020PTC136949,Director,2020-08-06,2021-10-25
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI TEJAS PRIVATE LIMITED,U40101TN2013FTC094224,Additional Director,2016-05-26,2016-12-31
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI TEJAS PRIVATE LIMITED,U40101TN2013FTC094224,Director,2016-12-31,2018-02-01
Other Directoships of GOPALAN PASHUPATHY SHANKAR,ANANTH SOLAR POWER MAHARASHTRA PRIVATE LIMITED,U40102DL2010PTC323841,Director,2010-07-06,2016-06-09
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI JYOTISWAROOP POWER PRIVATE LIMITED,U40102TN2014FTC098182,Director,2014-11-25,2016-10-27
Other Directoships of GOPALAN PASHUPATHY SHANKAR,INRAM SOLAR PRIVATE LIMITED,U40103TG2010PTC067382,Director,2010-07-22,2013-06-05
Other Directoships of GOPALAN PASHUPATHY SHANKAR,DHRUV MILKOSE PRIVATE LIMITED,U40104DL2007PTC171155,Director,2010-10-28,2011-01-17
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SIL NEPTUNE SOLAR PRIVATE LIMITED,U40105TN2020PTC137146,Director,2020-08-17,2021-10-25
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AMPLUS SUPERIOR SOLAR PRIVATE LIMITED,U40106DL2010PTC323842,Director,2010-07-19,2011-10-03
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AZURE POWER (GUJRAT) PRIVATE LIMITED,U40106GJ2010PTC060431,Additional Director,2010-05-19,2010-12-22
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI SOLAR ENERGY PRIVATE LIMITED,U40106MH2010PTC331321,Director,2010-07-05,2010-12-22
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI GREEN ENERGY PRIVATE LIMITED,U40106TN2010PTC076445,Director,2010-07-05,2011-08-18
Other Directoships of GOPALAN PASHUPATHY SHANKAR,MILLENIUM SOLAR POWER RAJASTHAN PRIVATE LIMITED,U40106TN2010PTC076448,Director,2010-07-05,2016-10-27
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI GREEN TECHNOLOGY PRIVATE LIMITED,U40106TN2010PTC076473,Director,2010-07-06,2011-08-18
Other Directoships of GOPALAN PASHUPATHY SHANKAR,REL CLEANTECH PRIVATE LIMITED,U40106TN2010PTC076504,Director,2010-07-07,2011-08-18
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI STAR SOLAR ENERGY PRIVATE LIMITED,U40106TN2010PTC076573,Director,2010-07-12,2016-10-27
Other Directoships of GOPALAN PASHUPATHY SHANKAR,ISHAAN SOLAR POWER PRIVATE LIMITED,U40106TN2010PTC136715,Director,2010-11-23,2020-02-11
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SILRES ENERGY SOLUTIONS PRIVATE LIMITED,U40106TN2019PTC131888,Director,2020-05-11,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SUNEDISON ROOFTOP SOLAR SPV 6 PRIVATE LIMITED,U40106TN2020PTC136295,Director,2020-07-10,2021-10-25
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SUNEDISON MANUFACTURING PRIVATE LIMITED,U40106TN2021PTC140924,Director,2021-01-23,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SUN ALTERNATE ENERGY PRIVATE LIMITED,U40108DL2010PTC204419,Nominee Director,2010-11-12,2020-07-24
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AMPLUS SOLAR POWER MH PRIVATE LIMITED,U40108DL2010PTC326267,Director,2010-03-09,2016-06-06
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI SOLAR POWER PRIVATE LIMITED,U40108MH2010PTC331317,Director,2010-03-09,2016-08-01
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI SOLAR POWER GUJARAT PRIVATE LIMITED,U40108MH2010PTC331325,Director,2010-03-09,2016-08-01
Other Directoships of GOPALAN PASHUPATHY SHANKAR,CHINT INDIA ENERGY SOLUTION PRIVATE LIMITED,U40108TN2010PTC074842,Director,2010-03-09,2014-05-13
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SURYA GREEN POWER PRIVATE LIMITED,U40108TN2010PTC074847,Director,2010-03-09,2016-09-29
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI SOLARTECH PRIVATE LIMITED,U40108TN2010PTC076481,Director,2010-07-06,2020-02-11
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SUNEDISON ENERGY SOLUTIONS PRIVATE LIMITED,U40108TN2020PTC135766,Director,2020-06-12,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,MILLENIUM SYNERGY (GUJRAT) PRIVATE LIMITED,U40109MH2009PTC331323,Director,2010-05-28,2010-12-22
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI DIAMOND PRIVATE LIMITED,U40109TN2014FTC097920,Director,2014-11-07,2016-09-29
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI MIHIR ENERGY PRIVATE LIMITED,U40300TN2013PTC092045,Director,2013-07-08,2016-09-29
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SEI VENUS PRIVATE LIMITED,U40300TN2014FTC097864,Director,2014-10-30,2016-09-29
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SIL JUPITER SOLAR PRIVATE LIMITED,U40300TN2020PTC136534,Director,2020-07-20,2021-10-25
Other Directoships of GOPALAN PASHUPATHY SHANKAR,IDFC FIRST BHARAT LIMITED,U65929TN2003PLC050856,Additional Director,2008-08-01,2008-09-16
Other Directoships of GOPALAN PASHUPATHY SHANKAR,IDFC FIRST BHARAT LIMITED,U65929TN2003PLC050856,Director,2008-09-16,2011-05-14
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AMBUR PROPERTIES PRIVATE LIMITED,U68100TN2024PTC166497,Director,2024-01-03,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SHERISHA TECHNOLOGIES PRIVATE LIMITED,U70200TN2010PTC074345,Additional Director,2016-12-19,2016-12-27
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SHERISHA TECHNOLOGIES PRIVATE LIMITED,U70200TN2010PTC074345,Director,2016-12-27,2019-09-02
Other Directoships of GOPALAN PASHUPATHY SHANKAR,NXG POWER SYSTEMS INDIA PRIVATE LIMITED,U72200KA2021PTC143063,Additional Director,2023-07-26,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AIBORNE.TECH PRIVATE LIMITED,U72900DL2019PTC356957,Additional Director,2022-03-08,2022-04-06
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AIBORNE.TECH PRIVATE LIMITED,U72900DL2019PTC356957,Director,2022-04-06,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,REFEX RESEARCH PRIVATE LIMITED,U73100TN2010FTC074360,Director,2010-01-25,2020-02-12
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SUNEDISON CAPITAL PRIVATE LIMITED,U74110TN2021PTC140828,Director,2021-01-19,2021-05-07
Other Directoships of GOPALAN PASHUPATHY SHANKAR,ESP URJA PRIVATE LIMITED,U74900MH2010PTC331324,Additional Director,2010-05-29,2010-12-22
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SKYBLESS PRIVATE LIMITED,U74999MH2017PTC294740,Additional Director,2023-01-17,2023-09-04
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SKYBLESS PRIVATE LIMITED,U74999MH2017PTC294740,Director,2023-09-05,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,KLAR CARE SERVICES PRIVATE LIMITED,U74999MH2020PTC335696,Director,2020-01-08,2020-07-24
Other Directoships of GOPALAN PASHUPATHY SHANKAR,ENRECOVER PRIVATE LIMITED,U74999PN2022PTC207781,Director,2022-01-18,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,SUNEDISON SOLAR POWER INDIA PRIVATE LIMITED,U74999TN2012PTC088413,Additional Director,2014-10-13,2015-02-04
Other Directoships of GOPALAN PASHUPATHY SHANKAR,ATLAS SANI-TECH PRIVATE LIMITED,U90000TN2022PTC149086,Director,2022-01-07,Ongoing
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AVYAN PASHUPATHY CAPITAL ADVISORS PRIVATE LIMITED,U93000TN2016PTC112623,Additional Director,2016-12-20,2017-12-27
Other Directoships of GOPALAN PASHUPATHY SHANKAR,AVYAN PASHUPATHY CAPITAL ADVISORS PRIVATE LIMITED,U93000TN2016PTC112623,Director,2017-12-27,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,PARABOLA ENGINEERS LLP,AAC-8051,Designated Partner,2014-10-13,2018-10-05
Other Directoships of RAHUL JANARDAN SANKHE,PARABOLA ENGINEERS LLP,AAC-8051,Partner,2018-10-05,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI VENTURES LLP,AAC-8886,Designated Partner,2014-11-10,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI INFRA DEVELOPERS LLP,AAF-2960,Designated Partner,2018-04-02,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI INFRA DEVELOPERS LLP,AAF-2960,Designated Partner,2015-12-09,2018-04-01
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI INFRASTRUCTURE & ENGINEERING LLP,AAL-9707,Designated Partner,2018-02-09,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,SEI SRIRAM POWER PRIVATE LIMITED,U31506KA2008PTC046011,Additional Director,2014-12-16,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,INDIGO GENERATION (INDIA) PRIVATE LIMITED,U40100MH2016FTC363542,Additional Director,2019-07-19,2019-11-29
Other Directoships of RAHUL JANARDAN SANKHE,INDIGO GENERATION (INDIA) PRIVATE LIMITED,U40100MH2016FTC363542,Director,2019-11-29,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,DOWNING GRIDCO PRIVATE LIMITED,U40101MH2018PTC363541,Additional Director,2019-07-19,2019-11-29
Other Directoships of RAHUL JANARDAN SANKHE,DOWNING GRIDCO PRIVATE LIMITED,U40101MH2018PTC363541,Director,2019-11-29,2023-06-30
Other Directoships of RAHUL JANARDAN SANKHE,ANANTH SOLAR POWER MAHARASHTRA PRIVATE LIMITED,U40102DL2010PTC323841,Director,2010-07-06,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,INRAM SOLAR PRIVATE LIMITED,U40103TG2010PTC067382,Director,2010-07-22,2013-06-05
Other Directoships of RAHUL JANARDAN SANKHE,DHRUV MILKOSE PRIVATE LIMITED,U40104DL2007PTC171155,Director,2010-10-28,2011-01-17
Other Directoships of RAHUL JANARDAN SANKHE,SEI BHEEM PRIVATE LIMITED,U40105TN2014FTC098015,Director,2014-11-13,2014-12-01
Other Directoships of RAHUL JANARDAN SANKHE,AMPLUS SUPERIOR SOLAR PRIVATE LIMITED,U40106DL2010PTC323842,Director,2010-07-19,2011-10-03
Other Directoships of RAHUL JANARDAN SANKHE,AZURE POWER (GUJRAT) PRIVATE LIMITED,U40106GJ2010PTC060431,Additional Director,2010-05-19,2010-12-22
Other Directoships of RAHUL JANARDAN SANKHE,AYANA RENEWABLE POWER PRIVATE LIMITED,U40106KA2017FTC101000,Additional Director,2017-06-30,2018-07-30
Other Directoships of RAHUL JANARDAN SANKHE,AYANA RENEWABLE POWER PRIVATE LIMITED,U40106KA2017FTC101000,Director,2018-07-30,2019-03-29
Other Directoships of RAHUL JANARDAN SANKHE,SEI SOLAR ENERGY PRIVATE LIMITED,U40106MH2010PTC331321,Director,2010-07-05,2010-12-22
Other Directoships of RAHUL JANARDAN SANKHE,INDIGOGEN PRIVATE LIMITED,U40106MH2022FTC384406,Director,2022-06-10,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,SEI GREEN ENERGY PRIVATE LIMITED,U40106TN2010PTC076445,Director,2010-07-05,2011-08-18
Other Directoships of RAHUL JANARDAN SANKHE,MILLENIUM SOLAR POWER RAJASTHAN PRIVATE LIMITED,U40106TN2010PTC076448,Director,2010-07-05,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,SEI GREEN TECHNOLOGY PRIVATE LIMITED,U40106TN2010PTC076473,Director,2010-07-06,2011-08-18
Other Directoships of RAHUL JANARDAN SANKHE,REL CLEANTECH PRIVATE LIMITED,U40106TN2010PTC076504,Director,2010-07-07,2011-08-18
Other Directoships of RAHUL JANARDAN SANKHE,SEI STAR SOLAR ENERGY PRIVATE LIMITED,U40106TN2010PTC076573,Director,2010-07-12,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,ISHAAN SOLAR POWER PRIVATE LIMITED,U40106TN2010PTC136715,Director,2011-10-25,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,ISHAAN SOLAR POWER PRIVATE LIMITED,U40106TN2010PTC136715,Nominee Director,2010-11-23,2011-10-25
Other Directoships of RAHUL JANARDAN SANKHE,GROWELL SOLAR ENERGY PRIVATE LIMITED,U40108DL2010PTC204413,Nominee Director,2010-11-23,2010-12-07
Other Directoships of RAHUL JANARDAN SANKHE,SUN ALTERNATE ENERGY PRIVATE LIMITED,U40108DL2010PTC204419,Nominee Director,2010-11-12,2010-12-07
Other Directoships of RAHUL JANARDAN SANKHE,AMPLUS SOLAR POWER MH PRIVATE LIMITED,U40108DL2010PTC326267,Director,2010-03-09,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,SEI SOLAR POWER PRIVATE LIMITED,U40108MH2010PTC331317,Director,2010-03-09,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,SEI SOLAR POWER GUJARAT PRIVATE LIMITED,U40108MH2010PTC331325,Director,2010-03-09,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,CHINT INDIA ENERGY SOLUTION PRIVATE LIMITED,U40108TN2010PTC074842,Director,2010-03-09,2014-05-13
Other Directoships of RAHUL JANARDAN SANKHE,SURYA GREEN POWER PRIVATE LIMITED,U40108TN2010PTC074847,Director,2010-03-09,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,SEI SOLARTECH PRIVATE LIMITED,U40108TN2010PTC076481,Director,2010-07-06,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,SEI RENEWABLE ENERGY PRIVATE LIMITED,U40108TN2014FTC098103,Director,2014-11-20,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,MILLENIUM SYNERGY (GUJRAT) PRIVATE LIMITED,U40109MH2009PTC331323,Director,2010-05-28,2010-12-22
Other Directoships of RAHUL JANARDAN SANKHE,TERRALIGHT SOLAR ENERGY SITAMAUSS PRIVATE LIMITED,U40300DL2014PTC270053,Director,2015-02-21,2016-01-22
Other Directoships of RAHUL JANARDAN SANKHE,NATEMS GREEN ENERGY PRIVATE LIMITED,U40300MH2014PTC363544,Additional Director,2019-07-19,2019-11-29
Other Directoships of RAHUL JANARDAN SANKHE,NATEMS GREEN ENERGY PRIVATE LIMITED,U40300MH2014PTC363544,Director,2019-11-29,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,IRONHIDE GENERATION (INDIA) PRIVATE LIMITED,U40300MH2016FTC363543,Additional Director,2019-07-19,2019-11-29
Other Directoships of RAHUL JANARDAN SANKHE,IRONHIDE GENERATION (INDIA) PRIVATE LIMITED,U40300MH2016FTC363543,Director,2019-11-29,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,ROCKHOPPER RENEWABLES (INDIA) PRIVATE LIMITED,U40300MH2016FTC363576,Additional Director,2019-07-19,2019-11-29
Other Directoships of RAHUL JANARDAN SANKHE,ROCKHOPPER RENEWABLES (INDIA) PRIVATE LIMITED,U40300MH2016FTC363576,Director,2019-11-29,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,IRONGEN PRIVATE LIMITED,U40300MH2022FTC384644,Director,2022-06-15,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI HOSPITALITY & SERVICES PRIVATE LIMITED,U45200MH2016PTC273763,Director,2016-03-02,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI SPACES PRIVATE LIMITED,U45309MH2019PTC321362,Director,2019-02-18,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,MAYURESH REALTY PRIVATE LIMITED,U45400MH2010PTC200294,Director,2010-02-20,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI INFRASTRUCTURE PRIVATE LIMITED,U45400MH2015PTC269065,Director,2015-10-09,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,AGAMI SOLAR PARK ONE PRIVATE LIMITED,U45400MH2015PTC271015,Director,2015-12-15,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,GOOSEBERRY LIFESTYLE PRIVATE LIMITED,U55101MH2015PTC269017,Director,2015-10-08,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,SHERISHA TECHNOLOGIES PRIVATE LIMITED,U70200TN2010PTC074345,Additional Director,2010-03-31,2011-06-27
Other Directoships of RAHUL JANARDAN SANKHE,SHERISHA TECHNOLOGIES PRIVATE LIMITED,U70200TN2010PTC074345,Director,2011-06-27,2015-02-04
Other Directoships of RAHUL JANARDAN SANKHE,SENSEHAWK INDIA PRIVATE LIMITED,U72200MH2018FTC312967,Director,2018-08-23,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,REFEX RESEARCH PRIVATE LIMITED,U73100TN2010FTC074360,Additional Director,2010-03-31,2011-06-27
Other Directoships of RAHUL JANARDAN SANKHE,REFEX RESEARCH PRIVATE LIMITED,U73100TN2010FTC074360,Director,2011-06-27,2015-12-01
Other Directoships of RAHUL JANARDAN SANKHE,AEREM SOLUTIONS PRIVATE LIMITED,U74110MH2018PTC313493,Additional Director,2021-07-02,2021-09-30
Other Directoships of RAHUL JANARDAN SANKHE,AEREM SOLUTIONS PRIVATE LIMITED,U74110MH2018PTC313493,Director,2021-09-30,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,HOVER X LABS PRIVATE LIMITED,U74120MH2015PTC265971,Director,2015-06-24,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,ESP URJA PRIVATE LIMITED,U74900MH2010PTC331324,Additional Director,2010-05-29,2010-12-22
Other Directoships of RAHUL JANARDAN SANKHE,SCORPIUS TRACKERS PRIVATE LIMITED,U74900PN2012PTC144942,Director,2016-04-02,2022-10-13
Other Directoships of RAHUL JANARDAN SANKHE,SCORPIUS TRACKERS PRIVATE LIMITED,U74900PN2012PTC144942,Nominee Director,2016-01-15,2016-04-02
Other Directoships of RAHUL JANARDAN SANKHE,SENSEHAWK TECHNOLOGIES PRIVATE LIMITED,U74999MH2016PTC282049,Director,2016-06-03,Ongoing
Other Directoships of RAHUL JANARDAN SANKHE,SKYBLESS PRIVATE LIMITED,U74999MH2017PTC294740,Additional Director,2017-10-24,2018-10-21
Other Directoships of RAHUL JANARDAN SANKHE,SKYBLESS PRIVATE LIMITED,U74999MH2017PTC294740,Director,2018-10-21,2023-01-17
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,EDUSTEM PARTNERS LLP,AAZ-2481,Partner,2021-12-30,2023-03-10
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS DAKSHIN PRIVATE LIMITED,U40100DL2020PTC363370,Director,2020-04-21,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,NAGANADU POWER PRIVATE LIMITED,U40101HR2011FTC042357,Director,2011-03-09,2011-09-16
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,ANANTH SOLAR POWER MAHARASHTRA PRIVATE LIMITED,U40102DL2010PTC323841,Additional Director,2019-11-20,2020-10-20
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,ANANTH SOLAR POWER MAHARASHTRA PRIVATE LIMITED,U40102DL2010PTC323841,Director,2020-10-20,2021-03-15
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SUNLIGHT PRIVATE LIMITED,U40103DL2018PTC337590,Additional Director,2019-11-20,2020-10-20
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SUNLIGHT PRIVATE LIMITED,U40103DL2018PTC337590,Director,2020-10-20,2021-03-15
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SUPERIOR SOLAR PRIVATE LIMITED,U40106DL2010PTC323842,Additional Director,2019-11-20,2020-10-20
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SUPERIOR SOLAR PRIVATE LIMITED,U40106DL2010PTC323842,Director,2020-10-20,2021-03-15
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS RJ SOLAR PRIVATE LIMITED,U40106DL2017PTC314694,Additional Director,2019-11-20,2020-10-21
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS RJ SOLAR PRIVATE LIMITED,U40106DL2017PTC314694,Director,2020-10-21,2021-03-15
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS POORVA PRIVATE LIMITED,U40106DL2020PTC363132,Director,2020-04-01,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,SUNROOT ENERGY PRIVATE LIMITED,U40106DL2020PTC363369,Director,2020-04-21,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,NAY ENERGY PRIVATE LIMITED,U40106DL2020PTC363442,Director,2020-04-25,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS AMPERE PRIVATE LIMITED,U40106DL2021PTC379356,Director,2021-03-26,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS CENTAUR SOLAR PRIVATE LIMITED,U40106DL2021PTC379357,Director,2021-03-26,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS PHOENIX ENERGY PRIVATE LIMITED,U40106DL2021PTC379360,Director,2021-03-26,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS IIFA SOLAR PRIVATE LIMITED,U40106DL2021PTC379411,Director,2021-03-30,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS ALPHA SOLAR PRIVATE LIMITED,U40106DL2021PTC379499,Director,2021-04-01,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SOLAR POWER MH PRIVATE LIMITED,U40108DL2010PTC326267,Additional Director,2019-11-20,2020-10-22
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SOLAR POWER MH PRIVATE LIMITED,U40108DL2010PTC326267,Director,2020-10-22,2021-03-15
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS SOLAR SHAKTI PRIVATE LIMITED,U40109DL2021PTC379433,Director,2021-03-31,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS ANDHRA POWER PRIVATE LIMITED,U40300DL2016PTC307480,Additional Director,2019-11-20,2020-10-21
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS ANDHRA POWER PRIVATE LIMITED,U40300DL2016PTC307480,Director,2020-10-21,2021-03-15
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS KN SOLAR PRIVATE LIMITED,U40300DL2017PTC314693,Additional Director,2019-11-20,2020-10-22
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS KN SOLAR PRIVATE LIMITED,U40300DL2017PTC314693,Director,2020-10-22,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS GREEN POWER PRIVATE LIMITED,U40300DL2017PTC314768,Additional Director,2019-11-20,2020-10-22
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS GREEN POWER PRIVATE LIMITED,U40300DL2017PTC314768,Director,2020-10-22,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS AGES PRIVATE LIMITED,U40300DL2020PTC363251,Director,2020-04-13,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,GRIAN ENERGY PRIVATE LIMITED,U40300DL2020PTC363316,Director,2020-04-17,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,ONEVOLT ENERGY PRIVATE LIMITED,U40300DL2020PTC363342,Director,2020-04-20,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS VENUS PRIVATE LIMITED,U40300DL2020PTC363371,Director,2020-04-21,Ongoing
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AES THAR POWER PRIVATE LIMITED,U40300HR2011FTC042397,Director,2011-03-11,2011-09-16
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,DHARMAPURI POWER PRIVATE LIMITED,U40300HR2011FTC042399,Director,2011-03-11,2011-09-16
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AES MANGAON POWER PRIVATE LIMITED,U40300HR2011FTC042423,Director,2011-03-15,2011-09-16
Other Directoships of DILIPKUMAR SUMERMALL MEHTHA,AMPLUS TUMKUR SOLAR ENERGY ONE PRIVATE LIMITED,U40300HR2016PTC057873,Additional Director,2020-09-04,2021-06-29
